ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 3 name,Attribute 3 value(s),Attribute 3 visible,Attribute 3 global,Attribute 4 name,Attribute 4 value(s),Attribute 4 visible,Attribute 4 global,Attribute 5 name,Attribute 5 value(s),Attribute 5 visible,Attribute 5 global,Attribute 5 default,Attribute 6 name,Attribute 6 value(s),Attribute 6 visible,Attribute 6 global,Attribute 6 default,Attribute 7 name,Attribute 7 value(s),Attribute 7 visible,Attribute 7 global,Attribute 8 name,Attribute 8 value(s),Attribute 8 visible,Attribute 8 global,Attribute 8 default,Meta: slide_template,Meta: _variable_tour,Meta: custom_price_label,Meta: add_time_input,Meta: tour_resource_group,Meta: tour_full_day_booking,Meta: hide_photos,Attribute 9 name,Attribute 9 value(s),Attribute 9 visible,Attribute 9 global,Attribute 10 name,Attribute 10 value(s),Attribute 10 visible,Attribute 10 global,Meta: show_qty,Meta: is_multi_day,,1500,2000,3000,3000,2500,2500,Total Price
3192,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,14500,,,,,,,id:2811,,,,,,351,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,0,0,14500
3193,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17000,,,,,,,id:2811,,,,,,352,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,0,2500,17000
3194,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17000,,,,,,,id:2811,,,,,,353,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,2500,0,17000
3195,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,19500,,,,,,,id:2811,,,,,,354,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,0,2500,2500,19500
3196,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17500,,,,,,,id:2811,,,,,,355,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,0,0,17500
3197,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,,,,id:2811,,,,,,356,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,0,2500,20000
3198,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,,,,id:2811,,,,,,357,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,2500,0,20000
3199,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,22500,,,,,,,id:2811,,,,,,358,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,Without Birthday Package (0 THB),,1,Add I-Love-You Package?,"With I-Love-You Package (3\,000 THB)",,1,Add Masseuse?,"With Massuese (half-day tour; 2\,500 THB)",,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,0,3000,2500,2500,22500
3200,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,17500,,,,,,,id:2811,,,,,,359,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,Without Photographer (0 THB),,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,3000,0,0,0,17500
3201,"variation, virtual",,Sunset Cruise (Copy),1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,20000,,,,,,,id:2811,,,,,,360,"Add'l Guest (1,500 THB each)",No additional guests,,1,"Dinner Option (2,000 THB each)",Thai Dinner Set,,1,Add Birthday Package?,"With Birthday Package (3\,000 THB)",,1,Add I-Love-You Package?,Without I-Love-You Package (0 THB),,1,Add Masseuse?,Without Massuese (0 THB),,1,,Add Photographer?,"With Photographer (half-day tour; 2\,500 THB)",,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,2000,3000,0,0,2500,20000
